C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\catalogo.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\clientes.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\contratos.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\dashboard.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\eventos.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\financeiro.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\fornecedores.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\leads.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\operacional.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\oportunidades.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\orcamentos.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\relatorios.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\routes\usuarios.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\audit-db.mjs | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\auth.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\config.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\index.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\inspect-db-rules.mjs | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\inspect-db.mjs | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\supabaseClient.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\test-db.mjs | OK
C:\Users\hardf\Desktop\SUED SYSTEM\server\utils.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\decor.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\form.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\icons.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\modal.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\shell.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\sued-wall.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\table.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\components\toast.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\catalogo.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\clientes.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\contratos.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\dashboard.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\eventos.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\financeiro.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\fornecedores.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\leads.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\locais.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\login.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\operacional.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\orcamentos.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\pipeline.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\views\relatorios.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\api.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\app.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\auth.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\config.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\roles.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\router.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\state.js | OK
C:\Users\hardf\Desktop\SUED SYSTEM\public\src\utils.js | OK
